country,admin1,admin2,admin3,time,time_precision,total_births,average_births_per_1km
Ethiopia,Benshangul-Gumaz,Kemashi,Bio Jiganifado,2015-01-01T00:00:00,year,2382.6330345124006,1.2256342770125517
Ethiopia,Benshangul-Gumaz,Kemashi,Kamashi,2015-01-01T00:00:00,year,839.1738641560078,0.4901716496238363
Ethiopia,Benshangul-Gumaz,Kemashi,Sirba Abay,2015-01-01T00:00:00,year,1023.8584056571126,0.32773956647154695
Ethiopia,Benshangul-Gumaz,Kemashi,Yaso,2015-01-01T00:00:00,year,817.5701232105494,0.2654448451982303
Ethiopia,Benshangul-Gumaz,Metekel,Bulen,2015-01-01T00:00:00,year,1449.8529778197408,0.40510002174343135
Ethiopia,Benshangul-Gumaz,Metekel,Dangura,2015-01-01T00:00:00,year,1597.4903336912394,0.26722822577638666
Ethiopia,Benshangul-Gumaz,Metekel,Dibat,2015-01-01T00:00:00,year,2661.809310413897,1.0033205090139077
Ethiopia,Benshangul-Gumaz,Metekel,Guba,2015-01-01T00:00:00,year,1078.0471102204174,0.13161361374928793
Ethiopia,Benshangul-Gumaz,Metekel,Mandura,2015-01-01T00:00:00,year,1754.2201711535454,1.3619721825726283
Ethiopia,Benshangul-Gumaz,Metekel,Pawe Special,2015-01-01T00:00:00,year,2009.9061355665326,3.120972260196479
Ethiopia,Benshangul-Gumaz,Metekel,Wenbera,2015-01-01T00:00:00,year,2682.8523966148496,0.32701760075753894
Ethiopia,Dire Dawa,Dire Dawa,Dire Dawa,2015-01-01T00:00:00,year,13142.36295825243,11.518284801272944
Ethiopia,Dire Dawa,Dire Dawa,Dire Dawa/Town,2015-01-01T00:00:00,year,230.17715206742287,2.192163353023075
Ethiopia,Gambela Peoples,Agnuak,Abobo,2015-01-01T00:00:00,year,722.158038433292,0.19741881859849425
Ethiopia,Gambela Peoples,Agnuak,Dima,2015-01-01T00:00:00,year,1377.3623648174107,0.1508446352882938
Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,2015-01-01T00:00:00,year,2771.8207915201783,0.7010168921396506
Ethiopia,Gambela Peoples,Agnuak,Gambella Wild Life Reserve,2015-01-01T00:00:00,year,372.230688765645,0.6623321864157384
Ethiopia,Gambela Peoples,Agnuak,Gog,2015-01-01T00:00:00,year,456.1944118060637,0.12017766380560162
Ethiopia,Gambela Peoples,Agnuak,Itang,2015-01-01T00:00:00,year,1047.3555165939033,0.4026741701629771
Ethiopia,Gambela Peoples,Agnuak,Jore,2015-01-01T00:00:00,year,789.3800854217261,0.19764148358080272
Ethiopia,Gambela Peoples,Majang,Godere,2015-01-01T00:00:00,year,1003.789345100522,1.4484694734495267
Ethiopia,Gambela Peoples,Majang,Mengesh,2015-01-01T00:00:00,year,1332.1574231386185,0.6448003016159818
Ethiopia,Gambela Peoples,Nuer,Akobo,2015-01-01T00:00:00,year,510.5089009515941,0.20444889905950905
Ethiopia,Gambela Peoples,Nuer,Jikawo,2015-01-01T00:00:00,year,836.1431388035417,0.6431870298488782
Ethiopia,Gambela Peoples,Nuer,Lare,2015-01-01T00:00:00,year,664.5912045836449,0.8423209183569643
Ethiopia,Gambela Peoples,Nuer,Wantawo,2015-01-01T00:00:00,year,325.49430391564965,0.3111800228639098
Ethiopia,Harari People,Hareri,Harar,2015-01-01T00:00:00,year,6560.386892080307,14.775646153334025
Ethiopia,Oromia,Arsi,Amigna,2015-01-01T00:00:00,year,3465.1188012361526,2.1834396983214575
Ethiopia,Oromia,Arsi,Aseko,2015-01-01T00:00:00,year,3181.0646772384644,5.130749479416878
Ethiopia,Oromia,Arsi,Bele Gesgar,2015-01-01T00:00:00,year,2243.3860817551613,2.7291801481206344
Ethiopia,Oromia,Arsi,Chole,2015-01-01T00:00:00,year,4099.479741334915,5.757696265919825
Ethiopia,Oromia,Arsi,Degeluna Tijo,2015-01-01T00:00:00,year,6802.687470912933,5.92568595027259
Ethiopia,Oromia,Arsi,Diksis,2015-01-01T00:00:00,year,2484.815088033676,4.930188666733485
Ethiopia,Oromia,Arsi,Dodota,2015-01-01T00:00:00,year,3869.3798475265503,7.152273285631331
Ethiopia,Oromia,Arsi,Gololcha Arsi,2015-01-01T00:00:00,year,7583.541426062584,3.7823149257169995
Ethiopia,Oromia,Arsi,Guna,2015-01-01T00:00:00,year,3256.282919049263,5.427138198415438
Ethiopia,Oromia,Arsi,Hitosa,2015-01-01T00:00:00,year,6313.264035224915,7.6339347463420975
Ethiopia,Oromia,Arsi,Inkolo Wabe,2015-01-01T00:00:00,year,2190.676970243454,5.96914705788407
Ethiopia,Oromia,Arsi,Jeju,2015-01-01T00:00:00,year,5604.555484056473,5.9119783587093595
Ethiopia,Oromia,Arsi,Limu Bilbilo,2015-01-01T00:00:00,year,8690.187183447182,6.124162919976873
Ethiopia,Oromia,Arsi,Lude Hitosa,2015-01-01T00:00:00,year,5319.679722309113,8.470827583294765
Ethiopia,Oromia,Arsi,Merti,2015-01-01T00:00:00,year,4943.372006416321,3.9016353641802057
Ethiopia,Oromia,Arsi,Munessa,2015-01-01T00:00:00,year,8070.465409755707,6.566692766278036
Ethiopia,Oromia,Arsi,Robe,2015-01-01T00:00:00,year,7913.343481361866,5.1152834397943545
Ethiopia,Oromia,Arsi,Seru,2015-01-01T00:00:00,year,3123.133021235466,1.5975104967956348
Ethiopia,Oromia,Arsi,Shirka,2015-01-01T00:00:00,year,7164.859181344509,5.955826418407738
Ethiopia,Oromia,Arsi,Sire,2015-01-01T00:00:00,year,3923.614743947983,6.169205572245256
Ethiopia,Oromia,Arsi,Sude,2015-01-01T00:00:00,year,6981.8184814453125,4.9064079279306485
Ethiopia,Oromia,Arsi,Tena,2015-01-01T00:00:00,year,4299.710896253586,8.143391848965125
Ethiopia,Oromia,Arsi,Tiyo,2015-01-01T00:00:00,year,7783.898951172829,10.350929456346847
Ethiopia,Oromia,Arsi,Ziway Dugda,2015-01-01T00:00:00,year,5468.386838348582,3.9032025969654405
Ethiopia,Oromia,Bale,Agarfa,2015-01-01T00:00:00,year,4388.166514098644,3.0536997314534755
Ethiopia,Oromia,Bale,Berbere,2015-01-01T00:00:00,year,2445.9045529067516,1.541212698744015
Ethiopia,Oromia,Bale,Dawe Kachen,2015-01-01T00:00:00,year,1470.9728678911924,0.7289260990541092
Ethiopia,Oromia,Bale,Dinsho,2015-01-01T00:00:00,year,1359.06758710742,1.7765589373953201
Ethiopia,Oromia,Bale,Gasera,2015-01-01T00:00:00,year,3985.5656857192516,2.9588460918479966
Ethiopia,Oromia,Bale,Ginir,2015-01-01T00:00:00,year,6408.220398128033,2.19159384340904
Ethiopia,Oromia,Bale,Goba,2015-01-01T00:00:00,year,4072.3716505765915,2.0948413840414566
